Well_ID,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality
W130715080034201,13.12,80.06,2020,7.3,2620,0,329,441.0,249.0,48.0,810,112.0,129.0,183.0,4.8,1.27,1572.0,2
W130834080054801,13.14,80.1,2020,7.4,2640,0,464,427.0,280.0,130.0,640,136.0,73.0,264.0,42.0,1.03,1584.0,2
W130412080074401,13.07,80.14,2020,7.4,2440,0,378,341.0,396.0,12.0,540,136.0,49.0,291.0,13.0,0.89,1464.0,2
W130345080034501,13.06,80.06,2020,7.8,921,0,372,96.0,38.0,3.8,210,40.0,27.0,134.0,1.6,1.19,552.6,1
W130345079514501,13.06,79.86,2020,7.7,417,0,122,45.0,32.0,0.94,56,14.0,4.9,49.0,2.8,0.45,250.2,0
W130400079580001,13.07,79.97,2020,7.5,842,0,360,75.0,42.0,8.3,265,54.0,32.0,80.0,3.4,0.58,505.2,1
W130830079544501,13.14,79.91,2020,7.4,2560,0,439,441.0,281.0,0.96,530,88.0,75.0,316.0,3.6,0.8,1536.0,2
W130730079460001,13.13,79.77,2020,7.7,726,0,390,32.0,15.0,7.2,310,52.0,44.0,30.0,2.2,0.7,435.6,1
W131030079363001,13.18,79.61,2020,7.7,742,0,329,57.0,23.0,4.4,270,54.0,33.0,58.0,0.87,1.12,445.2,1
W131600080164503,13.27,80.28,2020,7.2,4430,0,256,1209.0,134.0,6.5,1690,452.0,136.0,312.0,8.0,0.97,2658.0,2
W131619080154601,13.27,80.26,2020,7.2,5610,0,244,1650.0,164.0,8.0,2220,576.0,190.0,384.0,18.0,0.91,3366.0,2
W131948080114401,13.3419,80.1892,2020,7.3,954,0,262,149.0,42.0,18.0,280,68.0,27.0,82.0,19.0,0.05,572.4,1
W132400080080002,13.4,80.1333,2020,7.2,1578,0,342,312.0,68.0,26.0,430,136.0,22.0,144.0,44.0,1.03,946.8,2
W131905079574501,13.3181,79.9625,2020,7.4,1110,0,354,121.0,61.0,53.0,400,100.0,36.0,62.0,23.0,0.27,666.0,1
W124055079165801,13.3292,80.0767,2020,7.5,993,0,336,121.0,49.0,15.0,300,56.0,39.0,85.0,17.0,0.91,595.8,1
W131314080100401,13.2208,80.1678,2020,7.5,1162,0,390,149.0,60.0,4.0,330,92.0,24.0,108.0,14.0,1.63,697.2,2
