Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,U(ppb),TDS,Water_Quality
13.0192,80.2679,2021,7.71,973,0,244,135.0,134.0,5.0,370,44.0,63.0,59.0,18.0,0.82,0.59,583.8,1
13.0395,80.2584,2021,7.46,629,0,165,110.0,16.0,2.0,170,50.0,11.0,58.0,5.0,0.84,2.06,377.4,0
13.0007,80.2669,2021,7.5,660,0,183,114.0,45.0,3.0,240,60.0,22.0,38.0,17.0,0.3,0.79,396.0,1
13.007,80.2409,2021,7.04,608,0,171,103.0,27.0,4.0,175,46.0,15.0,57.0,5.0,0.92,1.71,364.8,0
13.043,80.2056,2021,7.69,856,0,207,121.0,135.0,6.0,310,52.0,44.0,59.0,12.0,0.82,1.29,513.6,1
13.0891,80.1977,2021,7.19,636,0,165,121.0,22.0,4.0,155,30.0,19.0,70.0,5.0,0.89,3.25,381.6,0
13.1294,80.2914,2021,7.6,2130,0,445,447.0,49.0,20.0,350,72.0,41.0,265.0,76.0,0.27,0.26,1278.0,1
13.087,80.2681,2021,7.9,3460,0,689,639.0,263.0,1.0,440,64.0,68.0,588.0,26.0,1.03,3.4,2076.0,2
11.5625,79.5917,2021,7.84,1049,0,268,128.0,85.0,23.0,330,82.0,30.0,79.0,4.0,1.16,6.35,629.4,1
11.3619,79.4669,2021,7.1,1069,0,268,135.0,75.0,20.0,340,92.0,27.0,65.0,27.0,1.15,3.36,641.4,1
11.5394,79.5914,2021,7.89,1099,0,183,142.0,152.0,0.0,360,92.0,32.0,86.0,4.0,0.78,1.66,659.4,1
11.4667,79.55,2021,8.32,989,0,299,92.0,89.0,6.0,220,32.0,34.0,109.0,1.0,0.45,0.89,593.4,1
11.3058,79.5939,2021,8.08,2750,0,561,484.0,153.0,9.0,550,48.0,105.0,304.0,3.0,0.8,8.37,1650.0,2
11.9403,78.4017,2021,7.8,3150,0,451,503.0,335.0,66.0,780,184.0,78.0,231.0,62.0,0.4,7.19,1890.0,2
12.1172,78.1531,2021,7.8,1652,0,433,191.0,151.0,59.0,620,92.0,95.0,62.0,2.0,0.54,3.78,991.2,2
12.1353,78.06,2021,7.0,1366,0,415,170.0,74.0,46.0,570,112.0,70.0,29.0,3.0,0.72,1.46,819.6,1
