State,District,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS
Tamilnadu,Villupuram,12.2047,79.8439,2019,6.6,650,0,207.468,92.17,20,24.1,290,80,116.659,25.2,1.5,0.3,390
Tamilnadu,Villupuram,12.1958,79.7667,2019,6.8,4100,0,512.568,836.62,220,182,1150,424,21.8736,371.6,9.6,0.5,2460
Tamilnadu,Villupuram,12.1083,79.7442,2019,7.2,1020,0,341.712,127.62,34,22.2,440,72,63.1904,29.8,1.6,0.2,612
Tamilnadu,Pondicherry,11.9,79.8167,2019,7.3,900,0,280.692,106.35,51,17.2,220,48,24.304,97.4,1,0.7,540
Tamilnadu,Pondicherry,11.8833,79.7667,2019,7,1891,0,396.63,304.87,140,49.1,440,120,34.0256,217.2,19.2,0.5,1134.6
Tamilnadu,Pondicherry,11.8075,79.7803,2019,6.6,370,0,103.734,42.54,16.5,17.7,150,32,17.0128,15.9,1.4,0.3,222
Tamilnadu,Cuddalore,11.7444,79.7667,2019,7.1,2460,0,433.242,411.22,156,135,580,160,43.7472,256.3,49.9,0.2,1476
Tamilnadu,Cuddalore,11.7758,79.6733,2019,7.1,1150,0,353.916,141.8,62,18.3,410,100,38.8864,79.5,2.5,1.4,690
Tamilnadu,Cuddalore,11.6164,79.7414,2019,6.7,335,0,48.816,49.63,20,46.8,140,44,7.2912,8.4,3.4,0.1,201
Tamilnadu,Cuddalore,11.6011,79.7189,2019,7.3,1780,0,256.284,283.6,152,117.8,420,96,43.7472,180.7,55.3,0.3,1068
Tamilnadu,Cuddalore,11.4894,79.7156,2019,6.8,455,0,73.224,70.9,47.5,19.4,170,52,9.7216,20.5,1.2,0.1,273
Tamilnadu,Cuddalore,11.4917,79.7542,2019,7.3,1786,0,494.262,241.06,117,22.5,460,128,34.0256,165.7,32.4,0.2,1071.6
Tamilnadu,Cuddalore,11.4458,79.7639,2019,7.1,1471,0,274.59,248.15,121.5,26.2,410,144,12.152,119.2,43.3,0.1,882.6
Tamilnadu,Cuddalore,11.3617,79.5083,2019,6.8,1084,0,213.57,191.43,60,31,380,92,36.456,58.6,2.3,0.2,650.4
Tamilnadu,Cuddalore,11.6083,79.3167,2019,7,1968,0,463.752,311.96,114.5,56.8,820,180,89.9248,78,1.5,0.7,1180.8
Tamilnadu,Cuddalore,11.5167,79.3375,2019,6.2,683,0,61.02,127.62,93.5,19.8,220,48,24.304,52.5,2.4,0.2,409.8
Tamilnadu,Cuddalore,11.5186,79.3697,2019,6.3,791,0,152.55,134.71,43.5,40.2,250,76,14.5824,43.8,20.1,0.3,474.6
Tamilnadu,Cuddalore,11.5222,79.5256,2019,6.6,1063,0,207.468,177.25,76.5,36.3,250,44,34.0256,106,27.5,0.3,637.8
Tamilnadu,Cuddalore,11.5269,79.6517,2019,7.2,2590,0,494.262,389.95,277.5,31,540,100,70.4816,327.4,12.4,0.8,1554
Tamilnadu,Cuddalore,11.5625,79.5917,2019,6.8,1083,0,305.1,141.8,62.5,39.7,430,80,55.8992,54.4,2,1.4,649.8
Tamilnadu,Cuddalore,11.5375,79.5417,2019,6.7,864,0,195.264,155.98,53,21.6,240,72,14.5824,85.3,4.3,0.2,518.4
Tamilnadu,Cuddalore,11.5892,79.5275,2019,5.8,266,0,48.816,35.45,17,27.5,110,32,7.2912,6.3,0.6,0.2,159.6
Tamilnadu,Cuddalore,11.6447,79.6017,2019,5.8,348,0,48.816,56.72,12.5,75,120,16,19.4432,19.9,9.4,0.1,208.8
Tamilnadu,Cuddalore,11.6725,79.5808,2019,6,240,0,54.918,49.63,12,34.3,130,32,12.152,8.2,0.8,0.1,144
Tamilnadu,Cuddalore,11.6872,79.6942,2019,6,340,0,30.51,56.72,10,81,140,44,7.2912,18.6,1,0.1,204
Tamilnadu,Pondicherry,11.9119,79.8233,2019,7,2420,0,421.038,538.84,100,44.3,710,136,89.9248,226.8,22.9,0.2,1452
Tamilnadu,Kancheepuram,12.224,79.481,2019,7.2,3630,0,396.63,411.22,809,28.8,1130,160,177.419,303.4,0.8,0.8,2178
Tamilnadu,Thiruvanamalai,12.63,78.5015,2019,7.1,2089,0,488.16,340.32,59.5,95.7,600,100,85.064,146.6,76.1,0.4,1253.4
Tamilnadu,Thiruvanamalai,12.16,78.563,2019,7,1869,0,366.12,283.6,145,137.7,680,200,43.7472,124,1.8,0.8,1121.4
Tamilnadu,Thiruvanamalai,12.214,78.5245,2019,7.2,2860,0,646.812,460.85,97,217.1,940,112,160.406,229.5,4,1.2,1716
Tamilnadu,Thiruvanamalai,12.2528,79.1128,2019,7,1449,0,469.854,155.98,48.5,108.1,430,152,12.152,113.3,34.1,0.3,869.4
Tamilnadu,Thiruvanamalai,12.3007,79.1331,2019,7.3,970,0,353.916,85.08,24.5,35.9,360,72,43.7472,52,5.2,1,582
Tamilnadu,Thiruvanamalai,12.5033,79.2367,2019,7.1,1565,0,457.65,191.43,54,115.4,520,164,26.7344,119.3,4.7,0.4,939
Tamilnadu,Thiruvanamalai,12.31,79.8,2019,7.1,890,0,329.508,77.99,38.5,40.8,330,76,34.0256,55.4,1.2,0.9,534
Tamilnadu,Thiruvanamalai,12.393,79.0654,2019,6.8,490,0,183.06,42.54,20,37.7,180,40,19.4432,34.9,1.7,0.7,294
Tamilnadu,Thiruvanamalai,12.7236,79.1256,2019,7.1,1060,0,372.222,106.35,49,50.4,390,76,48.608,62.9,3.4,0.6,636
Tamilnadu,Thiruvanamalai,12.21,79.17,2019,6.9,2500,0,414.936,553.02,65,78.8,690,164,68.0512,249.7,2.6,0.8,1500
Tamilnadu,Thiruvanamalai,12.46,79.16,2019,7.1,1315,0,378.324,191.43,68.5,44.6,480,92,60.76,89.6,2,0.9,789
Tamilnadu,Thiruvanamalai,12.8167,79.3083,2019,7,3020,0,439.344,723.18,96,54.9,880,196,94.7856,285.2,1.1,0.7,1812
Tamilnadu,Thiruvanamalai,12.46,79.2445,2019,7.1,2570,0,518.67,496.3,89,111.4,780,176,82.6336,234.6,1.1,0.6,1542
Tamilnadu,Thiruvanamalai,12.5689,79.7233,2019,7.1,1445,0,372.222,233.97,42.5,72.8,580,144,53.4688,63.9,1.6,1,867
Tamilnadu,Thiruvanamalai,12.5,79.423,2019,7.4,3160,0,896.994,475.03,94,83.6,260,20,51.0384,585.8,19.6,1.8,1896
Tamilnadu,Thiruvanamalai,12.463,79.493,2019,7.1,2210,0,433.242,382.86,107.5,103.7,450,64,70.4816,285.9,1.8,1.3,1326
Tamilnadu,Thiruvanamalai,12.495,79.5612,2019,7.1,2170,0,482.058,418.31,59.5,63.5,590,204,19.4432,230.9,0.2,0.8,1302
Tamilnadu,Erode,11.3917,77.6778,2019,7.1,1790,0,469.854,241.06,72.5,123.6,480,100,55.8992,152,66,0.9,1074
Tamilnadu,Erode,11.4283,77.6492,2019,7.4,1872,0,640.71,148.89,166.5,45.9,390,36,72.912,217.4,60.6,1.2,1123.2
Tamilnadu,Erode,11.4811,77.6969,2019,7.1,2170,0,433.242,276.51,240.5,106.9,830,156,106.938,104.2,7.6,0.6,1302
Tamilnadu,Erode,11.6414,77.6822,2019,7.3,1702,0,378.324,276.51,110,70.1,750,108,116.659,52.9,2.9,1,1021.2
Tamilnadu,Erode,11.678,77.656,2019,7.2,2760,0,360.018,411.22,362.5,177.8,1130,168,172.558,116.9,8.8,1.1,1656
Tamilnadu,Erode,11.621,77.6335,2019,7.4,2640,0,585.792,319.05,384,127,630,108,87.4944,360.4,7.5,1.8,1584
Tamilnadu,Erode,11.6272,77.6061,2019,7.2,583,0,207.468,70.9,19.5,30.6,240,72,14.5824,27.7,0.5,0.6,349.8
Tamilnadu,Erode,11.5944,77.5875,2019,7.1,3390,0,463.752,297.78,786.5,118.4,1280,176,204.154,198.2,3.5,1.3,2034
Tamilnadu,Erode,11.4649,77.6058,2019,7.2,980,0,305.1,85.08,101,27,340,68,41.3168,66.2,14.6,0.9,588
Tamilnadu,Erode,11.38,77.4272,2019,7.2,2170,0,323,340,225,120,520,132,46,233,32,1,1302
Tamilnadu,Erode,11.4583,77.4458,2019,7.2,1216,0,445.446,120.53,35,77.9,500,140,36.456,57.7,2.6,1,729.6
Tamilnadu,Erode,11.5242,77.5167,2019,7.3,1318,0,414.936,134.71,51,115.6,420,48,72.912,112.2,3.4,0.2,790.8
Tamilnadu,Erode,11.5042,77.4083,2019,7.5,784,0,274.59,92.17,34,28.4,280,28,51.0384,50.5,9.1,1.2,470.4
Tamilnadu,Erode,11.5028,77.2472,2019,7.2,602,0,213.57,63.81,25,42.3,200,36,26.7344,66.2,3,0.4,361.2
Tamilnadu,Erode,11.5418,77.1762,2019,7.3,1510,0,439.344,170.16,57,126.8,440,64,68.0512,138.5,2,0.3,906
Tamilnadu,Erode,11.6739,77.1289,2019,7.3,1347,0,512.568,127.62,48,74.1,330,68,38.8864,169.7,2.8,0.8,808.2
