Well_ID,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS
W130715080034201,13.12,80.06,2020,7.3,2620,0,329,441,249,48,810,112,129,183,4.8,1.27,1572
W130834080054801,13.14,80.1,2020,7.4,2640,0,464,427,280,130,640,136,73,264,42,1.03,1584
W130412080074401,13.07,80.14,2020,7.4,2440,0,378,341,396,12,540,136,49,291,13,0.89,1464
W130345080034501,13.06,80.06,2020,7.8,921,0,372,96,38,3.8,210,40,27,134,1.6,1.19,552.6
W130345079514501,13.06,79.86,2020,7.7,417,0,122,45,32,0.94,56,14,4.9,49,2.8,0.45,250.2
W130400079580001,13.07,79.97,2020,7.5,842,0,360,75,42,8.3,265,54,32,80,3.4,0.58,505.2
W130830079544501,13.14,79.91,2020,7.4,2560,0,439,441,281,0.96,530,88,75,316,3.6,0.8,1536
W130730079460001,13.13,79.77,2020,7.7,726,0,390,32,15,7.2,310,52,44,30,2.2,0.7,435.6
W131030079363001,13.18,79.61,2020,7.7,742,0,329,57,23,4.4,270,54,33,58,0.87,1.12,445.2
W131600080164503,13.27,80.28,2020,7.2,4430,0,256,1209,134,6.5,1690,452,136,312,8,0.97,2658
W131619080154601,13.27,80.26,2020,7.2,5610,0,244,1650,164,8,2220,576,190,384,18,0.91,3366
W131948080114401,13.3419,80.1892,2020,7.3,954,0,262,149,42,18,280,68,27,82,19,0.05,572.4
W132400080080002,13.4,80.1333,2020,7.2,1578,0,342,312,68,26,430,136,22,144,44,1.03,946.8
W131905079574501,13.3181,79.9625,2020,7.4,1110,0,354,121,61,53,400,100,36,62,23,0.27,666
W124055079165801,13.3292,80.0767,2020,7.5,993,0,336,121,49,15,300,56,39,85,17,0.91,595.8
W131314080100401,13.2208,80.1678,2020,7.5,1162,0,390,149,60,4,330,92,24,108,14,1.63,697.2
W095515077530001,13.0833,80.2,2020,7.4,2180,0,256,419,271,11,600,144,58,192,27,0.53,1308
W130005080161201,13.0014,80.27,2020,7.1,1127,0,232,206,46,67,280,96,10,110,30,0.33,676.2
W125407080145801,12.9019,80.2494,2020,7.3,584,0,140,78,59,5,190,40,22,35,9,0.11,350.4
W125210080145001,12.8694,80.2472,2020,7.4,453,0,104,85,40,13,180,36,22,26,4,0.01,271.8
W123730080113001,12.625,80.1917,2020,7.5,268,0,43,50,25,11,80,24,5,10,24,0.04,160.8
W123113080090601,12.5203,80.1517,2020,7,1347,0,329,185,91,68,410,152,7,107,25,0.08,808.2
W123630079400001,12.6083,79.6667,2020,7.2,922,0,232,149,32,43,270,60,29,60,45,0.23,553.2
W124345080113001,12.7292,80.1917,2020,7.3,1358,0,360,241,50,1,370,76,44,129,15,0.83,814.8
W125148080133401,12.86,80.23,2020,6.1,663,0,49,89,77,23,80,24,4.9,60,39,0,397.8
