Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,U(ppb),TDS
13.0192,80.2679,2021,7.71,973,0,244,135,134,5,370,44,63,59,18,0.82,0.59,583.8
13.0395,80.2584,2021,7.46,629,0,165,110,16,2,170,50,11,58,5,0.84,2.06,377.4
13.0007,80.2669,2021,7.5,660,0,183,114,45,3,240,60,22,38,17,0.3,0.79,396
13.007,80.2409,2021,7.04,608,0,171,103,27,4,175,46,15,57,5,0.92,1.71,364.8
13.043,80.2056,2021,7.69,856,0,207,121,135,6,310,52,44,59,12,0.82,1.29,513.6
13.0891,80.1977,2021,7.19,636,0,165,121,22,4,155,30,19,70,5,0.89,3.25,381.6
13.1294,80.2914,2021,7.6,2130,0,445,447,49,20,350,72,41,265,76,0.27,0.26,1278
13.087,80.2681,2021,7.9,3460,0,689,639,263,1,440,64,68,588,26,1.03,3.4,2076
11.5625,79.5917,2021,7.84,1049,0,268,128,85,23,330,82,30,79,4,1.16,6.35,629.4
11.3619,79.4669,2021,7.1,1069,0,268,135,75,20,340,92,27,65,27,1.15,3.36,641.4
11.5394,79.5914,2021,7.89,1099,0,183,142,152,0,360,92,32,86,4,0.78,1.66,659.4
11.4667,79.55,2021,8.32,989,0,299,92,89,6,220,32,34,109,1,0.45,0.89,593.4
11.3058,79.5939,2021,8.08,2750,0,561,484,153,9,550,48,105,304,3,0.8,8.37,1650
11.9403,78.4017,2021,7.8,3150,0,451,503,335,66,780,184,78,231,62,0.4,7.19,1890
12.1172,78.1531,2021,7.8,1652,0,433,191,151,59,620,92,95,62,2,0.54,3.78,991.2
12.1353,78.06,2021,7,1366,0,415,170,74,46,570,112,70,29,3,0.72,1.46,819.6
12.1192,77.7811,2021,7.9,1300,0,476,128,116,3,300,36,51,180,1,0.79,1.04,780
12.2625,78.3003,2021,7.7,2600,0,378,503,181,11,660,156,66,218,1,0.8,3.36,1560
12.9867,78.6714,2021,7.6,1719,0,415,213,237,48,710,40,148,65,2,0.58,21.5,1031.4
12.1156,78.4025,2021,7.4,1721,0,378,291,26,62,500,68,80,156,1,0.96,0.98,1032.6
12.0975,78.1289,2021,7.4,354,0,67,50,41,3,130,28,15,14,1,0.18,0.32,212.4
12.1358,77.9906,2021,7.2,2950,0,317,468,248,55,960,164,134,131,1,0.69,7.61,1770
12.1425,78.2917,2021,7.5,2420,0,464,362,186,81,780,92,134,139,1,1.46,3.94,1452
12.1425,78.2917,2021,7.5,2420,0,464,362,186,81,780,92,134,139,1,1.46,3.94,1452
12.2147,78.0564,2021,7.5,1472,0,549,170,98,6,490,36,97,131,1,1.41,2.17,883.2
12.0275,77.8103,2021,7.8,1746,0,476,145,168,45,660,140,75,97,0,0.73,5.45,1047.6
12.0519,78.2792,2021,7.9,2330,0,512,305,189,62,770,72,143,161,2,1.45,4.88,1398
12.1036,78.5889,2021,7.7,3590,0,598,475,240,49,1120,268,109,176,2,1.34,13.6,2154
10.4822,78.1672,2021,7.87,1137,0,348,145,72,18,375,40,67,94,4,0.32,5.2,682.2
10.4667,77.6583,2021,8,2720,0,134,744,72,195,950,232,90,198,5,0.08,0.86,1632
10.3667,77.9708,2021,7.9,1890,0,567,195,144,70,480,74,72,212,11,1.14,1.76,1134
10.2583,77.925,2021,7.7,1250,0,317,174,74,57,325,88,26,133,8,0.6,4.27,750
10.6806,78.1156,2021,7.79,1745,0,397,230,130,101,395,114,27,214,9,0.25,4.71,1047
10.3514,77.9944,2021,7.5,360,0,134,28,43,2,100,28,7,40,6,0.42,1.06,216
10.7583,78.0333,2021,7.6,1280,0,323,170,110,20,310,62,38,143,16,0.62,6.13,768
10.6714,77.9922,2021,7.85,1363,0,378,209,48,24,495,126,44,83,8,0.32,2.04,817.8
10.475,77.5667,2021,7.86,4030,0,751,638,326,218,1000,144,156,465,22,0.52,1.74,2418
10.2347,77.4833,2021,7.46,146,0,37,25,10,1,40,10,4,14,0,0.07,0.01,87.6
10.7272,78.1392,2021,7.92,3230,0,561,603,202,175,815,186,85,380,22,0.83,5.44,1938
10.2256,77.5929,2021,7.87,2440,0,616,397,158,9,510,120,51,322,24,0.63,2.3,1464
10.4875,77.7542,2021,7.43,2530,0,592,468,43,99,750,144,95,235,5,0.44,1.82,1518
10.488,77.7577,2021,7.49,2650,0,488,425,192,192,1080,128,185,120,5,0.18,0.2,1590
10.4658,77.8056,2021,7.6,1667,0,482,181,53,122,555,112,67,115,6,1.45,1.49,1000.2
10.4333,77.5125,2021,8.14,307,0,85,39,24,5,95,30,5,25,6,0.41,0.02,184.2
10.2681,77.5417,2021,7.8,55,0,18,7,5,1,20,6,1,5,1,0.32,0.01,33
10.4619,77.7061,2021,7,1789,0,470,177,58,189,620,88,97,103,5,1.17,0.02,1073.4
10.4167,77.8611,2021,7.7,1342,0,464,131,47,70,380,68,51,129,6,0.23,2.06,805.2
10.4167,77.8611,2021,7.8,1329,0,354,156,82,102,495,130,41,83,2,0.96,2.06,797.4
10.7416,78.1041,2021,7.6,2710,0,226,794,67,27,1130,120,202,115,8,0.88,16.73,1626
10.4383,78.0855,2021,7.86,1200,0,336,152,96,15,345,72,40,115,5,0.98,10.87,720
10.4597,78.0272,2021,8.2,1094,0,366,128,43,21,350,40,61,83,12,0.1,5.46,656.4
10.4053,78.0453,2021,7.81,4180,0,928,681,240,161,890,220,83,552,16,0.29,3,2508
10.59,77.5269,2021,7.8,2340,0,366,553,34,99,690,78,120,221,14,0.9,1.75,1404
10.5333,77.5208,2021,7.68,1291,0,549,78,43,50,425,20,91,92,12,0.53,0.22,774.6
10.4422,78.103,2021,7.23,2360,0,323,418,221,149,610,144,61,276,4,0.38,1.74,1416
10.3583,78.1,2021,7.76,2490,0,421,440,154,109,740,196,61,219,4,0.28,1.59,1494
10.5458,78.0719,2021,8,2270,0,281,362,206,231,660,100,100,216,12,0.23,13.18,1362
10.5306,77.9528,2021,7.77,4160,0,488,1028,202,5,1060,68,216,460,13,0.71,4.74,2496
12.4064,79.8133,2021,7.81,1020,0,384,142,3,1,390,84,44,37,1,1.04,0.5,612
12.902,80.2494,2021,7.48,853,0,256,121,46,57,310,52,44,54,17,0.12,2.49,511.8
12.5689,79.7233,2021,7.1,1150,0,299,145,60,70,380,100,32,64,1,0.52,1.59,690
12.4064,79.8133,2021,7.2,1422,0,323,248,50,40,450,64,70,99,1,1.15,3,853.2
12.8633,80.2261,2021,7.45,764,0,92,114,108,34,190,20,34,69,40,0.37,0.18,458.4
12.9403,80.1378,2021,7.42,497,0,134,60,16,50,165,24,26,36,1,0.17,0.28,298.2
12.95,80.1338,2021,7.09,1761,0,525,312,29,7,530,76,83,169,4,0.91,1.04,1056.6
12.2586,79.9028,2021,7.11,485,0,226,28,2,21,160,32,19,36,0,0.4,0.47,291
12.8439,80.0622,2021,7.15,1360,0,275,220,10,99,420,120,29,96,30,0.69,0.73,816
