State,District,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality
Tamilnadu,Villupuram,12.2047,79.8439,2019,6.6,650,0,207.468,92.17,20.0,24.1,290,80.0,116.659,25.2,1.5,0.3,390.0,2
Tamilnadu,Villupuram,12.1958,79.7667,2019,6.8,4100,0,512.568,836.62,220.0,182.0,1150,424.0,21.8736,371.6,9.6,0.5,2460.0,2
Tamilnadu,Villupuram,12.1083,79.7442,2019,7.2,1020,0,341.712,127.62,34.0,22.2,440,72.0,63.1904,29.8,1.6,0.2,612.0,1
Tamilnadu,Pondicherry,11.9,79.8167,2019,7.3,900,0,280.692,106.35,51.0,17.2,220,48.0,24.304,97.4,1.0,0.7,540.0,1
Tamilnadu,Pondicherry,11.8833,79.7667,2019,7.0,1891,0,396.63,304.87,140.0,49.1,440,120.0,34.0256,217.2,19.2,0.5,1134.6,1
Tamilnadu,Pondicherry,11.8075,79.7803,2019,6.6,370,0,103.734,42.54,16.5,17.7,150,32.0,17.0128,15.9,1.4,0.3,222.0,0
Tamilnadu,Cuddalore,11.7444,79.7667,2019,7.1,2460,0,433.242,411.22,156.0,135.0,580,160.0,43.7472,256.3,49.9,0.2,1476.0,2
Tamilnadu,Cuddalore,11.7758,79.6733,2019,7.1,1150,0,353.916,141.8,62.0,18.3,410,100.0,38.8864,79.5,2.5,1.4,690.0,1
Tamilnadu,Cuddalore,11.6164,79.7414,2019,6.7,335,0,48.816,49.63,20.0,46.8,140,44.0,7.2912,8.4,3.4,0.1,201.0,1
Tamilnadu,Cuddalore,11.6011,79.7189,2019,7.3,1780,0,256.284,283.6,152.0,117.8,420,96.0,43.7472,180.7,55.3,0.3,1068.0,2
Tamilnadu,Cuddalore,11.4894,79.7156,2019,6.8,455,0,73.224,70.9,47.5,19.4,170,52.0,9.7216,20.5,1.2,0.1,273.0,0
Tamilnadu,Cuddalore,11.4917,79.7542,2019,7.3,1786,0,494.262,241.06,117.0,22.5,460,128.0,34.0256,165.7,32.4,0.2,1071.6,1
Tamilnadu,Cuddalore,11.4458,79.7639,2019,7.1,1471,0,274.59,248.15,121.5,26.2,410,144.0,12.152,119.2,43.3,0.1,882.6,1
Tamilnadu,Cuddalore,11.3617,79.5083,2019,6.8,1084,0,213.57,191.43,60.0,31.0,380,92.0,36.456,58.6,2.3,0.2,650.4,1
Tamilnadu,Cuddalore,11.6083,79.3167,2019,7.0,1968,0,463.752,311.96,114.5,56.8,820,180.0,89.9248,78.0,1.5,0.7,1180.8,2
Tamilnadu,Cuddalore,11.5167,79.3375,2019,6.2,683,0,61.02,127.62,93.5,19.8,220,48.0,24.304,52.5,2.4,0.2,409.8,2
Tamilnadu,Cuddalore,11.5186,79.3697,2019,6.3,791,0,152.55,134.71,43.5,40.2,250,76.0,14.5824,43.8,20.1,0.3,474.6,2
Tamilnadu,Cuddalore,11.5222,79.5256,2019,6.6,1063,0,207.468,177.25,76.5,36.3,250,44.0,34.0256,106.0,27.5,0.3,637.8,1
Tamilnadu,Cuddalore,11.5269,79.6517,2019,7.2,2590,0,494.262,389.95,277.5,31.0,540,100.0,70.4816,327.4,12.4,0.8,1554.0,1
Tamilnadu,Cuddalore,11.5625,79.5917,2019,6.8,1083,0,305.1,141.8,62.5,39.7,430,80.0,55.8992,54.4,2.0,1.4,649.8,1
Tamilnadu,Cuddalore,11.5375,79.5417,2019,6.7,864,0,195.264,155.98,53.0,21.6,240,72.0,14.5824,85.3,4.3,0.2,518.4,1
Tamilnadu,Cuddalore,11.5892,79.5275,2019,5.8,266,0,48.816,35.45,17.0,27.5,110,32.0,7.2912,6.3,0.6,0.2,159.6,2
Tamilnadu,Cuddalore,11.6447,79.6017,2019,5.8,348,0,48.816,56.72,12.5,75.0,120,16.0,19.4432,19.9,9.4,0.1,208.8,2
Tamilnadu,Cuddalore,11.6725,79.5808,2019,6.0,240,0,54.918,49.63,12.0,34.3,130,32.0,12.152,8.2,0.8,0.1,144.0,2
Tamilnadu,Cuddalore,11.6872,79.6942,2019,6.0,340,0,30.51,56.72,10.0,81.0,140,44.0,7.2912,18.6,1.0,0.1,204.0,2
